 0.72008   0.72008
-0.27029  -0.27029
-0.25968  -0.25968
-0.40222  -0.40222
 0.62053   0.62053
-0.24469  -0.24469
-0.34851  -0.34851
-0.11391  -0.11391
-0.12511  -0.12511
 1.00000   1.00000
 1.00000   1.00000
-0.45156  -0.45156
 0.50732   0.50732
 0.56857   0.56857
-0.53459  -0.53459
-0.20625  -0.20625
 0.08004   0.08004
 0.39663   0.39663
 0.11183   0.11183
 0.91795   0.91795
-0.64172  -0.64172
-0.28113  -0.28113
 0.40922   0.40922
-0.40038  -0.40038
-0.20918  -0.20918
-0.03378  -0.03378
-0.32864  -0.32864
-0.53414  -0.53414
-0.13629  -0.13629
-0.25104  -0.25104
-0.95588  -0.95588
-0.01696  -0.01696
-0.17514  -0.17514
-0.82493  -0.82493
-0.33109  -0.33109
-0.23446  -0.23446
-0.29973  -0.29973
 0.14087   0.14087
-0.16960  -0.16960
 0.16403   0.16403
 0.02484   0.02484
-0.09217  -0.09217
-0.19376  -0.19376
-0.56236  -0.56236
-0.14493  -0.14493
-0.06910  -0.06910
-0.72436  -0.72436
-0.57835  -0.57835
-0.45476  -0.45476
-0.59500  -0.59500
-0.52234  -0.52234
-0.69400  -0.69400
-0.02171  -0.02171
-0.31412  -0.31412
-0.37310  -0.37310
-0.27460  -0.27460
-0.59115  -0.59115
-0.57284  -0.57284
-0.36960  -0.36960
-0.39360  -0.39360
-0.84744  -0.84744
-0.30437  -0.30437
-0.08457  -0.08457
-0.72113  -0.72113
-0.78262  -0.78262
 0.10559   0.10559
-0.57866  -0.57866
-0.76253  -0.76253
-0.81675  -0.81675
-0.03443  -0.03443
-0.21979  -0.21979
-0.73946  -0.73946
-0.78187  -0.78187
-0.73631  -0.73631
 0.97765   0.97765
-0.43436  -0.43436
-0.35792  -0.35792
 0.43392   0.43392
 0.69410   0.69410
 0.70292   0.70292
 0.97765   0.97765
-0.57523  -0.57523
 0.29784   0.29784
 0.85108   0.85108
 0.08583   0.08583
 0.47182   0.47182
-0.17514  -0.17514
